Date,Quantity (In MT)
1/1/2024,0.498
2/1/2024,0.5039
3/1/2024,0.4082
3/1/2024,0.5019
4/1/2024,0.3203
5/1/2024,0.5
6/1/2024,0.4942
16/1/2024,0.5761
17/1/2024,0.5019
18/1/2024,0.4941
19/1/2024,0.4981
20/1/2024,0.5
21/1/2024,0.4941
22/1/2024,0.4922
23/1/2024,0.4825
15/1/2024,0.4121
16/1/2024,0.5761
17/1/2024,0.5019
18/1/2024,0.4941
19/1/2024,0.4981
20/1/2024,0.5
21/1/2024,0.4941
22/1/2024,0.4922
23/1/2024,0.4825
24/1/2024,0.5742
25/1/2024,0.5781
26/1/2024,0.4883
27/1/2024,0.5704
28/1/2024,0.4062
29/1/2024,0.4922
30/1/2024,0.4082
31/1/2024,0.4101
